slug,asset,epoch,entered,unwinded,forced,entry_side,shares_yes,shares_no,avg_cost_yes,avg_cost_no,total_cost,locked_payout,pnl,max_gross_exposure,minutes_to_unwind
btc-updown-15m-1765677600,btc,1765677600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765678500,btc,1765678500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765679400,btc,1765679400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765680300,btc,1765680300,True,True,True,yes,300,300,0.13012999999999997,0.9459449999999998,322.82249999999993,300.0,-22.822499999999934,18.0,
btc-updown-15m-1765681200,btc,1765681200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765682100,btc,1765682100,True,True,False,yes,100,100,0.265265,0.6456449999999999,91.091,100.0,8.909000000000006,35.5,
btc-updown-15m-1765683000,btc,1765683000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765683900,btc,1765683900,True,True,True,yes,100,100,0.325325,0.6756749999999999,100.1,100.0,-0.09999999999999432,0.0,
btc-updown-15m-1765684800,btc,1765684800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765685700,btc,1765685700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765686600,btc,1765686600,True,True,False,no,100,100,0.6156149999999999,0.30530499999999994,92.09199999999998,100.0,7.9080000000000155,38.5,
btc-updown-15m-1765687500,btc,1765687500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765688400,btc,1765688400,True,True,True,yes,100,100,0.005004999999999999,0.995995,100.1,100.0,-0.09999999999999432,0.0,
btc-updown-15m-1765689300,btc,1765689300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765690200,btc,1765690200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765691100,btc,1765691100,True,True,True,no,100,100,0.7657649999999999,0.23523499999999997,100.1,100.0,-0.09999999999999432,0.0,
btc-updown-15m-1765692000,btc,1765692000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765692900,btc,1765692900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765693800,btc,1765693800,True,True,True,no,100,100,0.9559549999999999,0.20520499999999997,116.11599999999999,100.0,-16.115999999999985,4.5,
btc-updown-15m-1765694700,btc,1765694700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765695600,btc,1765695600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765696500,btc,1765696500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765697400,btc,1765697400,True,True,False,yes,100,100,0.325325,0.6456449999999999,97.097,100.0,2.903000000000006,35.5,
btc-updown-15m-1765698300,btc,1765698300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765699200,btc,1765699200,True,True,True,yes,100,100,0.115115,0.9859849999999999,110.10999999999999,100.0,-10.109999999999985,1.5,
btc-updown-15m-1765700100,btc,1765700100,True,True,True,no,100,100,0.9509499999999999,0.06005999999999998,101.10099999999998,100.0,-1.1009999999999849,5.0,
btc-updown-15m-1765701000,btc,1765701000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
btc-updown-15m-1765701900,btc,1765701900,True,True,False,yes,200,200,0.2527525,0.6706699999999999,184.68449999999999,200.0,15.315500000000014,66.0,
btc-updown-15m-1765702800,btc,1765702800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
