slug,asset,epoch,entered,unwinded,forced,entry_side,shares_yes,shares_no,avg_cost_yes,avg_cost_no,total_cost,locked_payout,pnl,max_gross_exposure,hedged,dca_count,minutes_to_unwind
btc-updown-15m-1766097000,btc,1766097000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766097900,btc,1766097900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766098800,btc,1766098800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766099700,btc,1766099700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766100600,btc,1766100600,True,True,True,no,300,300,0.28528499999999996,0.21688333333333332,150.65049999999997,300.0,149.34950000000003,217.5,True,2,
btc-updown-15m-1766101500,btc,1766101500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766102400,btc,1766102400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766103300,btc,1766103300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766104200,btc,1766104200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766105100,btc,1766105100,True,False,True,no,0,300,0.0,0.17517499999999997,52.552499999999995,0.0,-52.552499999999995,13.5,False,2,
btc-updown-15m-1766106000,btc,1766106000,True,True,False,yes,400,400,0.03253249999999999,0.8608599999999998,357.3569999999999,400.0,42.643000000000086,56.00000000000001,True,3,
btc-updown-15m-1766106900,btc,1766106900,True,False,True,yes,100,0,0.275275,0.0,27.5275,0.0,-27.5275,0.0,False,0,
btc-updown-15m-1766107800,btc,1766107800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766108700,btc,1766108700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766109600,btc,1766109600,True,True,False,yes,200,200,0.20520499999999997,0.785785,198.19799999999998,200.0,1.802000000000021,21.5,True,1,
btc-updown-15m-1766110500,btc,1766110500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766111400,btc,1766111400,True,True,True,yes,300,300,0.20020000000000002,0.7157149999999999,274.7745,300.0,25.22550000000001,85.49999999999999,True,2,
btc-updown-15m-1766112300,btc,1766112300,True,False,True,no,0,100,0.0,0.07507499999999999,7.5074999999999985,0.0,-7.5074999999999985,0.0,False,0,
btc-updown-15m-1766113200,btc,1766113200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766114100,btc,1766114100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766115000,btc,1766115000,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766115900,btc,1766115900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766116800,btc,1766116800,True,False,True,no,0,300,0.0,0.155155,46.546499999999995,0.0,-46.546499999999995,6.0,False,2,
btc-updown-15m-1766117700,btc,1766117700,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766118600,btc,1766118600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766119500,btc,1766119500,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766120400,btc,1766120400,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766121300,btc,1766121300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766122200,btc,1766122200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766123100,btc,1766123100,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766124000,btc,1766124000,True,False,True,yes,100,0,0.085085,0.0,8.5085,0.0,-8.5085,0.0,False,0,
btc-updown-15m-1766124900,btc,1766124900,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766125800,btc,1766125800,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766126700,btc,1766126700,True,False,True,no,0,400,0.0,0.007507499999999998,3.0029999999999992,0.0,-3.0029999999999992,2.0,False,3,
btc-updown-15m-1766127600,btc,1766127600,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766128500,btc,1766128500,True,True,False,yes,300,300,0.1618283333333333,0.7957949999999999,287.287,300.0,12.713000000000022,61.49999999999999,True,2,
btc-updown-15m-1766129400,btc,1766129400,True,True,False,yes,100,100,0.17017,0.6256249999999999,79.57949999999998,100.0,20.42050000000002,37.5,True,0,
btc-updown-15m-1766130300,btc,1766130300,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766131200,btc,1766131200,False,False,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,
btc-updown-15m-1766132100,btc,1766132100,True,False,True,yes,300,0,0.19185833333333335,0.0,57.557500000000005,0.0,-57.557500000000005,12.5,False,2,
btc-updown-15m-1766133000,btc,1766133000,True,True,False,no,400,400,0.965965,0.03253249999999999,399.39899999999994,400.0,0.6010000000000559,14.000000000000002,True,3,
